DATE,sp500,daily_return
8/27/2013,1630.48,-0.015874166
8/28/2013,1634.96,0.002747657
8/29/2013,1638.17,0.001963351
8/30/2013,1632.97,-0.003174274
9/4/2013,1653.08,0.008116992
9/5/2013,1655.08,0.001209863
9/6/2013,1655.17,5.44E-05
9/9/2013,1671.71,0.009992931
9/10/2013,1683.99,0.007345772
9/11/2013,1689.13,0.003052275
9/12/2013,1683.42,-0.003380438
9/13/2013,1687.99,0.002714712
9/16/2013,1697.6,0.005693162
9/17/2013,1704.76,0.004217719
9/18/2013,1725.52,0.012177667
9/19/2013,1722.34,-0.001842923
9/20/2013,1709.91,-0.007216926
9/23/2013,1701.84,-0.004719547
9/24/2013,1697.42,-0.002597189
9/25/2013,1692.77,-0.002739452
9/26/2013,1698.67,0.003485411
9/27/2013,1691.75,-0.004073775
9/30/2013,1681.55,-0.00602926
10/1/2013,1695,0.007998573
10/2/2013,1693.87,-0.000666667
10/3/2013,1678.66,-0.008979438
10/4/2013,1690.5,0.007053245
10/7/2013,1676.12,-0.008506359
10/8/2013,1655.45,-0.012332053
10/9/2013,1656.4,0.000573862
10/10/2013,1692.56,0.021830476
10/11/2013,1703.2,0.006286335
10/14/2013,1710.14,0.004074683
10/15/2013,1698.06,-0.007063749
10/16/2013,1721.54,0.013827544
10/17/2013,1733.15,0.006743962
10/18/2013,1744.5,0.00654877
10/21/2013,1744.66,9.17E-05
10/22/2013,1754.67,0.005737508
10/23/2013,1746.38,-0.004724535
10/24/2013,1752.07,0.003258168
10/25/2013,1759.77,0.004394802
10/28/2013,1762.11,0.001329719
10/29/2013,1771.95,0.005584214
10/30/2013,1763.31,-0.004875984
10/31/2013,1756.54,-0.00383937
11/1/2013,1761.64,0.002903435
11/4/2013,1767.93,0.003570537
11/5/2013,1762.97,-0.002805541
11/6/2013,1770.49,0.004265529
11/7/2013,1747.15,-0.013182791
11/8/2013,1770.61,0.013427582
11/11/2013,1771.89,0.000722915
11/12/2013,1767.69,-0.00237035
11/13/2013,1782,0.008095311
11/14/2013,1790.62,0.004837262
11/15/2013,1798.18,0.004222001
11/18/2013,1791.53,-0.003698184
11/19/2013,1787.87,-0.002042947
11/20/2013,1781.37,-0.003635611
11/21/2013,1795.85,0.008128575
11/22/2013,1804.76,0.004961439
11/25/2013,1802.48,-0.001263326
11/26/2013,1802.75,0.000149794
11/27/2013,1807.23,0.002485092
12/2/2013,1800.9,-0.002719001
12/3/2013,1795.15,-0.003192848
12/4/2013,1792.81,-0.001303512
12/5/2013,1785.03,-0.004339556
12/6/2013,1805.09,0.011237906
12/9/2013,1808.37,0.001817084
12/10/2013,1802.62,-0.003179659
12/11/2013,1782.22,-0.011316861
12/12/2013,1775.5,-0.003770578
12/13/2013,1775.32,-0.00010138
12/16/2013,1786.54,0.006319987
12/17/2013,1781,-0.003100966
12/18/2013,1810.65,0.016647951
12/19/2013,1809.6,-0.000579902
12/20/2013,1818.32,0.004818744
12/23/2013,1827.99,0.005318096
12/24/2013,1833.32,0.002915771
12/27/2013,1841.4,-0.000336587
12/30/2013,1841.07,-0.000179211
12/31/2013,1848.36,0.003959654
1/3/2014,1831.37,-0.000332973
1/6/2014,1826.77,-0.002511781
1/7/2014,1837.88,0.006081773
1/8/2014,1837.49,-0.000212201
1/9/2014,1838.13,0.000348301
1/10/2014,1842.37,0.002306692
1/13/2014,1819.2,-0.012576193
1/14/2014,1838.88,0.010817942
1/15/2014,1848.38,0.005166188
1/16/2014,1845.89,-0.001347126
1/17/2014,1838.7,-0.00389514
1/22/2014,1844.86,0.0005749
1/23/2014,1828.46,-0.008889563
1/24/2014,1790.29,-0.020875491
1/27/2014,1781.56,-0.004876305
1/28/2014,1792.5,0.006140686
1/29/2014,1774.2,-0.010209205
1/30/2014,1794.19,0.01126705
1/31/2014,1782.59,-0.006465313
2/3/2014,1741.89,-0.022831947
2/4/2014,1755.2,0.007641125
2/5/2014,1751.64,-0.002028259
2/6/2014,1773.43,0.012439771
2/7/2014,1797.02,0.013301906
2/10/2014,1799.84,0.001569265
2/11/2014,1819.75,0.011062094
2/12/2014,1819.26,-0.000269268
2/13/2014,1829.83,0.005810055
2/14/2014,1838.63,0.00480919
2/19/2014,1828.75,-0.006524479
2/20/2014,1839.78,0.006031442
2/21/2014,1836.25,-0.001918708
2/24/2014,1847.61,0.006186521
2/25/2014,1845.12,-0.001347687
2/26/2014,1845.16,2.17E-05
2/27/2014,1854.29,0.00494808
2/28/2014,1859.45,0.002782736
3/3/2014,1845.73,-0.007378526
3/4/2014,1873.91,0.015267672
